Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,01/01/2007 12:00:00 AM,Atlantic Canada,Canada,64700
Road,01/01/2007 12:00:00 AM,Quebec,Canada,500
Road,01/01/2007 12:00:00 AM,Ontario,Canada,2000
Road,01/01/2007 12:00:00 AM,Western Canada,Canada,100
Road,01/01/2007 12:00:00 AM,Maine (by road only),United States,200
Road,01/01/2007 12:00:00 AM,Other New England,United States,400
Road,01/01/2007 12:00:00 AM,Middle Atlantic,United States,100
Road,01/01/2007 12:00:00 AM,East North Central,United States,100
Road,01/01/2007 12:00:00 AM,West North Central,United States,0
Road,01/01/2007 12:00:00 AM,South Atlantic,United States,0
Road,01/01/2007 12:00:00 AM,East South Central,United States,0
Road,01/01/2007 12:00:00 AM,West South Central,United States,0
Road,01/01/2007 12:00:00 AM,Mountain,United States,0
Road,01/01/2007 12:00:00 AM,Pacific,United States,0
Road,01/01/2007 12:00:00 AM,Overseas,Overseas,0
Air,02/01/2007 12:00:00 AM,Atlantic Canada,Canada,7300
Air,02/01/2007 12:00:00 AM,Quebec,Canada,3900
Air,02/01/2007 12:00:00 AM,Ontario,Canada,14200
Air,02/01/2007 12:00:00 AM,Western Canada,Canada,6300
Air,02/01/2007 12:00:00 AM,New England (inc Maine),United States,700
Air,02/01/2007 12:00:00 AM,Middle Atlantic,United States,400
Air,02/01/2007 12:00:00 AM,East North Central,United States,400
Air,02/01/2007 12:00:00 AM,West North Central,United States,100
Air,02/01/2007 12:00:00 AM,South Atlantic,United States,600
Air,02/01/2007 12:00:00 AM,East South Central,United States,200
Air,02/01/2007 12:00:00 AM,West South Central,United States,200
Air,02/01/2007 12:00:00 AM,Mountain,United States,200
Air,02/01/2007 12:00:00 AM,Pacific,United States,400
Air,02/01/2007 12:00:00 AM,United Kingdom,Overseas,900
Air,02/01/2007 12:00:00 AM,Germany,Overseas,200
Air,02/01/2007 12:00:00 AM,Other Europe,Overseas,900
Air,02/01/2007 12:00:00 AM,Other Overseas,Overseas,900
Road,02/01/2007 12:00:00 AM,Atlantic Canada,Canada,62300
Road,02/01/2007 12:00:00 AM,Quebec,Canada,400
Road,02/01/2007 12:00:00 AM,Ontario,Canada,2000
Road,02/01/2007 12:00:00 AM,Western Canada,Canada,100
Road,02/01/2007 12:00:00 AM,Maine (by road only),United States,200
Road,02/01/2007 12:00:00 AM,Other New England,United States,300
Road,02/01/2007 12:00:00 AM,Middle Atlantic,United States,100
Road,02/01/2007 12:00:00 AM,East North Central,United States,0
Road,02/01/2007 12:00:00 AM,West North Central,United States,0
Road,02/01/2007 12:00:00 AM,South Atlantic,United States,100
